ssbid_5000m,pop_tot,pop_mal,pop_fem,pop_ave2,geom_wkt
20800006465000,5832,2962,2870,35.7,"MULTIPOLYGON(((7.861249194594276 58.12597537856108,7.852277297895037 58.17053585186994,7.936623445828313 58.17525576034502,7.945491633627337 58.13068714819901,7.861249194594276 58.12597537856108)))"
20850006465000,34666,17085,17581,41.2,"MULTIPOLYGON(((7.945491633627337 58.13068714819901,7.936623445828313 58.17525576034502,8.020996102692393 58.179920148159596,8.029760472228517 58.13534349079768,7.945491633627337 58.13068714819901)))"
20900006465000,17249,8501,8748,38.4,"MULTIPOLYGON(((8.029760472228517 58.13534349079768,8.020996102692393 58.179920148159596,8.105394966131287 58.18452897944407,8.114055409241283 58.13994437062362,8.029760472228517 58.13534349079768)))"
20950006465000,231,123,108,47.2,"MULTIPOLYGON(((8.114055409241283 58.13994437062362,8.105394966131287 58.18452897944407,8.189819733185985 58.1890822187359,8.198376142910217 58.14448975234895,8.114055409241283 58.13994437062362)))"
21000006465000,1058,530,528,41.6,"MULTIPOLYGON(((8.198376142910217 58.14448975234895,8.189819733185985 58.1890822187359,8.274270100300836 58.193579830980696,8.282722370887372 58.148979601052396,8.198376142910217 58.14448975234895)))"
21050006465000,209,107,102,44.5,"MULTIPOLYGON(((8.282722370887372 58.148979601052396,8.274270100300836 58.193579830980696,8.358745763329981 58.198021781533065,8.36709379023864 58.15341388222028,8.282722370887372 58.148979601052396)))"
20000006470000,463,230,233,42.2,"MULTIPOLYGON(((6.506588433612872 58.08749733819323,6.49594147910845 58.131913432371334,6.57992497067517 58.13752610564591,6.590469834513851 58.09310037073804,6.506588433612872 58.08749733819323)))"
20050006470000,1278,663,615,40.7,"MULTIPOLYGON(((6.590469834513851 58.09310037073804,6.57992497067517 58.13752610564591,6.663939850447721 58.143083795240955,6.674382494955767 58.09864851106132,6.590469834513851 58.09310037073804)))"
20100006470000,1229,628,601,37.9,"MULTIPOLYGON(((6.674382494955767 58.09864851106132,6.663939850447721 58.143083795240955,6.747985825424434 58.148586458755474,6.758326123070616 58.10414171692163,6.674382494955767 58.09864851106132)))"
20150006470000,87,52,35,41.9,"MULTIPOLYGON(((6.758326123070616 58.10414171692163,6.747985825424434 58.148586458755474,6.832062601898506 58.15403405417989,6.842300426290053 58.10957994646753,6.758326123070616 58.10414171692163)))"
20200006470000,71,41,30,39.6,"MULTIPOLYGON(((6.842300426290053 58.10957994646753,6.832062601898506 58.15403405417989,6.916169885463845 58.159426539897176,6.926305111351207 58.11496315823881,6.842300426290053 58.10957994646753)))"
20250006470000,101,61,40,34.5,"MULTIPOLYGON(((6.926305111351207 58.11496315823881,6.916169885463845 58.159426539897176,7.000307381020942 58.16476387468397,7.010339884302499 58.120291311167485,6.926305111351207 58.11496315823881)))"
20300006470000,3921,1922,1999,41.4,"MULTIPOLYGON(((7.010339884302499 58.120291311167485,7.000307381020942 58.16476387468397,7.084474792782799 58.170046017711705,7.09440445050955 58.12556436457902,7.010339884302499 58.120291311167485)))"
20350006470000,2476,1256,1220,36,"MULTIPOLYGON(((7.09440445050955 58.12556436457902,7.084474792782799 58.170046017711705,7.168671824280858 58.17527292854779,7.178498514661064 58.130782278193436,7.09440445050955 58.12556436457902)))"
20400006470000,68,33,35,38.8,"MULTIPOLYGON(((7.178498514661064 58.130782278193436,7.168671824280858 58.17527292854779,7.252898178371041 58.18044456715662,7.26262178077483 58.13594501212634,7.178498514661064 58.130782278193436)))"
